"vendor","delivery_day","share_type","total"
"Casa de Comer Foods","LA","Cilantro Lime and Pepita Salsa",1
"Casa de Comer Foods","LA","Taquera Salsa",1
"Casa de Comer Foods","Thursday","Cilantro Lime and Pepita Salsa",1
"Casa de Comer Foods","Thursday","Mango Salsa",1
"Casa de Comer Foods","Wednesday","Cilantro Lime and Pepita Salsa",2
"Deux Bakery","LA","Sourdough",1
"Deux Bakery","Thursday","Demi Baguettes ()",2
"Deux Bakery","Thursday","Gluten Free Loaf",1
"Deux Bakery","Thursday","Multigrain Sourdough",1
"Deux Bakery","Thursday","Sourdough",2
"Deux Bakery","Tuesday","Everything Bagels ()",4
"Deux Bakery","Tuesday","Multigrain Sourdough",1
"Deux Bakery","Wednesday","Demi Baguettes ()",2
"Deux Bakery","Wednesday","Everything Bagels ()",12
"Deux Bakery","Wednesday","Sourdough",1
"L.A. Lepiane Wines","LA","2019 Happy Canyon Rose of Nebbiolo",1
"T.W. Hollister & Co.","LA","Dry Vermouth",1
"T.W. Hollister & Co.","LA","Red Vermouth",1
